event_id,event_date,event_title,location_description,state,latitude,longitude,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,source_name,source_link,source_catalog,source_record_id,location_accuracy,source_dataset,verification_basis,data_quality_flag,event_date_parsed
585,"6/14/08, 5:30 AM","Itanagar-Naharlagun, Arunachal Pradesh","Itanagar-Naharlagun, Arunachal Pradesh",Arunachal Pradesh,27.1,93.629,Landslide,Rain,Large,Unknown,21,,ukpress.google,http://ukpress.google.com/article/ALeqM5iM8gWKcS4OLf66hwzNMnaybAaZYA,GLC,585,Known within 25 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2008-06-14 05:30:00
870,"10/29/08, 5:30 AM","West Kameng, Arunachal Pradesh","West Kameng, Arunachal Pradesh",Arunachal Pradesh,27.4,92.35,Mudslide,Downpour,Medium,Unknown,12,,sindhtoday,http://www.sindhtoday.net/south-asia/32058.htm,GLC,870,Known within 50 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2008-10-29 05:30:00
1084,"8/12/09, 5:30 AM","Upper Subansiri District, Arunanchal Pradesh","Upper Subansiri District, Arunanchal Pradesh",Arunachal Pradesh,27.7,92.8,Landslide,Downpour,Medium,Unknown,0,,timesofindia.indiatimes,http://timesofindia.indiatimes.com/news/city/guwahati/Landslides-snap-road-links-in-Arunachal-district/articleshow/4916000.cms,GLC,1084,Known within 5 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2009-08-12 05:30:00
1613,"4/3/10, 4:30 AM","Koloriang, Kuring Kumey district, Arunachal Pradesh","Koloriang, Kuring Kumey district, Arunachal Pradesh",Arunachal Pradesh,27.9,93.35,Mudslide,Downpour,Large,Unknown,12,,english.peopledaily,http://english.peopledaily.com.cn/90001/90777/90852/6938742.html,GLC,1613,Known within 1 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2010-04-03 04:30:00
1775,"4/21/10, 5:30 AM",Arunachal Pradesh ,Arunachal Pradesh ,Arunachal Pradesh,27.897,96.178,Landslide,Downpour,Medium,Unknown,12,,gsi.gov,"http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL",GLC,1775,Location not known,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2010-04-21 05:30:00
1930,"5/31/10, 5:30 AM","Anini-Roing road,  Dibang Valley,  Arunachal Pradesh ","Anini-Roing road,  Dibang Valley,  Arunachal Pradesh ",Arunachal Pradesh,28.43,95.878,Landslide,Downpour,Medium,Unknown,0,,indianexpress,http://www.indianexpress.com/news/N-E-border-dist-cut-off-by-landslides--runs-out-of-supplies/627610,GLC,1930,Known within 50 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2010-05-31 05:30:00
2405,"9/10/10, 4:30 AM","Mossing(Mosing) village(?), Upper Siang district, Arunachal Pradesh","Mossing(Mosing) village(?), Upper Siang district, Arunachal Pradesh",Arunachal Pradesh,28.304,95.411,Landslide,Downpour,Medium,Unknown,10,,timesofindia.indiatimes,http://timesofindia.indiatimes.com/india/13-killed-as-rains-wrack-havoc-in-north-and-eastern-India-/articleshow/6532367.cms,GLC,2405,Location not known,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2010-09-10 04:30:00
2411,"9/10/10, 5:30 AM","districts Lakhimpur, Dhemaji, Golaghat, and Sonitpur, Assam province","districts Lakhimpur, Dhemaji, Golaghat, and Sonitpur, Assam province",Arunachal Pradesh,27.001,93.727,Landslide,Downpour,Medium,Unknown,0,,timesofindia.indiatimes,http://timesofindia.indiatimes.com/india/13-killed-as-rains-wrack-havoc-in-north-and-eastern-India-/articleshow/6532367.cms,GLC,2411,Location not known,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2010-09-10 05:30:00
2539,"10/3/10, 5:30 AM","Mosing village, Upper Siang district, Arunachal Pradesh","Mosing village, Upper Siang district, Arunachal Pradesh",Arunachal Pradesh,28.309,95.415,Landslide,Downpour,Medium,Unknown,10,,gsi.gov,"http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL",GLC,2539,Known within 25 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2010-10-03 05:30:00
2743,"11/22/10, 5:30 AM","Tawang Monastery, Arunachal Pradesh","Tawang Monastery, Arunachal Pradesh",Arunachal Pradesh,27.58,91.857,Landslide,Unknown,Medium,Natural slope,,,Daily News and Analysis,http://www.dnaindia.com/india/report_tawang-monastery-faces-danger-due-to-landslides_1472890,GLC,2743,Known within 1 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2010-11-22 05:30:00
3269,"3/22/11, 5:30 AM","road from other districts to Hawai(Tawai?) which is  on Lojit river, near Hayuliang,  Anjaw district, Arunachal Pradesh","road from other districts to Hawai(Tawai?) which is  on Lojit river, near Hayuliang,  Anjaw district, Arunachal Pradesh",Arunachal Pradesh,28.079,96.524,Landslide,Downpour,Medium,Unknown,0,,articles.timesofindia,http://articles.timesofindia.indiatimes.com/2011-03-23/guwahati/29178165_1_road-links-rainfall-source,GLC,3269,Known within 10 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2011-03-22 05:30:00
3776,"7/15/11, 11:30 PM",Itanagar/Naharlagur/Nirjuli,Itanagar/Naharlagur/Nirjuli,Arunachal Pradesh,27.125,93.715,Landslide,Downpour,Small,Unknown,0,,ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/flash-floods-landslides-in-arunachal-pradesh/757817.html,GLC,3776,Known within 5 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2011-07-15 23:30:00
3789,"7/16/11, 5:30 AM",Mebua (8 km from Seppa),Mebua (8 km from Seppa),Arunachal Pradesh,27.274,92.906,Landslide,Downpour,Medium,Unknown,0,,english.samaylive,http://english.samaylive.com/regional-news/others-news/676490549/flash-floods-in-arunachal-pradesh.html,GLC,3789,Known within 10 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2011-07-16 05:30:00
3806,"7/19/11, 5:30 AM","Itanagar (one near Pachali power house, one near Heema Hospital, and one nearRomik Colony at P Sector)","Itanagar (one near Pachali power house, one near Heema Hospital, and one nearRomik Colony at P Sector)",Arunachal Pradesh,27.103,93.688,Landslide,Downpour,Medium,Unknown,3,,ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/three-killed-in-landslides/758753.html,GLC,3806,Known within 10 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2011-07-19 05:30:00
3881,"8/5/11, 5:30 AM",Itanagar,Itanagar,Arunachal Pradesh,27.103,93.689,Landslide,Downpour,Medium,Unknown,0,,articles.timesofindia,http://articles.timesofindia.indiatimes.com/2011-08-06/guwahati/29861700_1_water-supply-drinking-water-landslides,GLC,3881,Known within 5 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2011-08-05 05:30:00
3912,"8/12/11, 5:30 AM",East Kameng district in Arunachal Pradesh bordering China,East Kameng district in Arunachal Pradesh bordering China,Arunachal Pradesh,27.44,92.283,Landslide,Rain,Medium,Unknown,0,,inewsone,http://www.inewsone.com/2011/08/12/iaf-airdrops-food-to-marooned-in-arunachal/68478,GLC,3912,Known within 50 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2011-08-12 05:30:00
3925,"8/15/11, 5:30 AM","East Kameng, Arunachal Pradesh","East Kameng, Arunachal Pradesh",Arunachal Pradesh,27.489,93.015,Landslide,Downpour,Medium,Unknown,0,,indianexpress,http://www.indianexpress.com/news/landslides-cut-off-arunachal-districts-iaf-to-the-rescue/833599/,GLC,3925,Known within 50 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2011-08-15 05:30:00
4313,"4/8/12, 5:30 AM","Endulin Nallah, Mayodia, 17-camp, 83-camp","Endulin Nallah, Mayodia, 17-camp, 83-camp",Arunachal Pradesh,28.466,95.86,Landslide,Downpour,Medium,Unknown,0,,timesofindia.indiatimes,http://timesofindia.indiatimes.com/Landslides-snap-road-links-in-Dibang-Valley/articleshow/12601499.cms,GLC,4313,Known within 50 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2012-04-08 05:30:00
4378,"6/2/12, 5:30 AM","Arunachal Pradesh, Dibang,","Arunachal Pradesh, Dibang,",Arunachal Pradesh,28.825,96.152,Landslide,Downpour,Medium,Unknown,,,isikkim.com,http://isikkim.com/2012-06-landslides-disrupt-surface-communication-in-arunachal-pradesh-05-9/,GLC,4378,Known within 50 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2012-06-02 05:30:00
4392,"6/6/12, 5:30 AM","Dibang, Arunachal Pradesh","Dibang, Arunachal Pradesh",Arunachal Pradesh,29.241,95.976,Landslide,Downpour,Medium,Unknown,,,allafrica.com,http://allafrica.com/stories/201206051178.html,GLC,4392,Known within 10 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2012-06-06 05:30:00
4435,"6/25/12, 5:30 AM","Tirap , Arunachal Pradesh","Tirap , Arunachal Pradesh",Arunachal Pradesh,27.174,95.801,Landslide,Downpour,Large,Unknown,,,articles.timesofindia,http://articles.timesofindia.indiatimes.com/2012-07-04/guwahati/32536229_1_massive-landslides-landslide-hit-road-blockade,GLC,4435,Known within 10 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2012-06-25 05:30:00
4436,"6/25/12, 5:30 AM","Khonsa, Arunachal Pradesh","Khonsa, Arunachal Pradesh",Arunachal Pradesh,26.999,95.499,Landslide,Downpour,Medium,Unknown,,,articles.timesofindia,http://articles.timesofindia.indiatimes.com/2012-07-04/guwahati/32536229_1_massive-landslides-landslide-hit-road-blockade,GLC,4436,Known within 50 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2012-06-25 05:30:00
4446,"7/5/12, 5:30 AM","Tuting, Upper Siang , Arunachal Pradesh","Tuting, Upper Siang , Arunachal Pradesh",Arunachal Pradesh,28.999,94.889,Landslide,Downpour,Large,Unknown,,,articles.timesofindia,http://articles.timesofindia.indiatimes.com/2012-07-07/guwahati/32577108_1_arunachal-district-landslides-arunachal-pradesh,GLC,4446,Known within 5 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2012-07-05 05:30:00
4570,"9/19/12, 5:30 AM", Arunachal Pradesh , Arunachal Pradesh ,Arunachal Pradesh,27.846,95.225,Landslide,Downpour,Medium,Unknown,,,articles.timesofindia,http://articles.timesofindia.indiatimes.com/2012-09-19/guwahati/33951873_1_landslides-road-communication-water-tank,GLC,4570,Known within 1 km,NASA COOLR,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK,2012-09-19 05:30:00
