event_id,date,state,district,location,latitude,longitude,landslide_type,trigger,source
NASA-COOLR-1001,2023-08-14,Himachal Pradesh,Shimla,Summer Hill Shiv Temple,31.1092,77.1354,debris_flow,monsoon_downpour,NASA_COOLR_GLC
NASA-COOLR-1002,2023-08-14,Himachal Pradesh,Shimla,Fagli slope collapse,31.0965,77.1652,mudslide,continuous_rain,NASA_COOLR_GLC
NASA-COOLR-1003,2023-08-15,Himachal Pradesh,Shimla,Krishna Nagar,31.1215,77.1524,rotational_slide,monsoon_rain,NASA_COOLR_Citizen
NASA-COOLR-1004,2023-07-10,Himachal Pradesh,Mandi,Pandoh Dam NH-21 bypass,31.6704,77.0502,rockslide_debris,torrential_rain,NASA_COOLR_Event
NASA-COOLR-1005,2023-07-09,Himachal Pradesh,Mandi,Victoria Bridge bypass,31.7082,76.9321,debris_flow,flooding_rain,NASA_COOLR_GLC
NASA-COOLR-1006,2023-08-24,Himachal Pradesh,Kullu,Anni hillside scarp,31.4251,77.4285,rotational_slide,monsoon_deluge,NASA_COOLR_Event
NASA-COOLR-1007,2023-08-13,Himachal Pradesh,Solan,Jadon village,30.9854,77.0982,debris_flow,cloudburst,NASA_COOLR_GLC
NASA-COOLR-1008,2023-07-09,Himachal Pradesh,Kullu,Bahang Manali-Leh road,32.2685,77.1894,flash_flood_debris,torrential_rain,NASA_COOLR_Event
NASA-COOLR-1009,2021-08-11,Himachal Pradesh,Kinnaur,Nigulsari NH-5,31.5452,77.9221,rockfall,continuous_rain,NASA_COOLR_GLC
NASA-COOLR-1010,2021-07-25,Himachal Pradesh,Kinnaur,Batseri Sangla valley,31.4331,78.2754,rockfall,rain_slope_failure,NASA_COOLR_GLC
NASA-COOLR-1011,2021-07-12,Himachal Pradesh,Kangra,Bhagsunag Dharamshala,32.2472,76.3531,debris_flow,cloudburst,NASA_COOLR_GLC
NASA-COOLR-1012,2022-08-20,Himachal Pradesh,Chamba,Bharmour-Holi road,32.4412,76.5415,debris_slide,monsoon_rain,NASA_COOLR_Citizen
NASA-COOLR-1013,2021-07-30,Himachal Pradesh,Sirmaur,Paonta-Shillai hill scarp,30.6521,77.6254,translational_slide,monsoon_rain,NASA_COOLR_GLC
NASA-COOLR-1014,2024-07-31,Himachal Pradesh,Kullu,Malana II dam breach,32.0581,77.2915,debris_flow,cloudburst,NASA_COOLR_2024
NASA-COOLR-1015,2024-08-01,Himachal Pradesh,Mandi,Thaltukhod Chauhar valley,31.9854,76.9821,debris_flow,cloudburst,NASA_COOLR_2024
NASA-COOLR-1016,2017-08-13,Himachal Pradesh,Mandi,Kotropi Mandi-Pathankot,31.8542,76.9214,massive_debris_flow,continuous_rain,NASA_COOLR_GLC
NASA-COOLR-2001,2013-06-16,Uttarakhand,Rudraprayag,Kedarnath Mandakini deluge,30.7342,79.0665,moraine_dam_debris_flow,cloudburst_rain,NASA_COOLR_GLC
NASA-COOLR-2002,2013-06-16,Uttarakhand,Rudraprayag,Gaurikund river bank wash,30.6551,79.0284,debris_flow,monsoon_rain,NASA_COOLR_GLC
NASA-COOLR-2003,2021-02-07,Uttarakhand,Chamoli,Ronti peak rock-ice avalanche,30.3854,79.7281,rock_ice_avalanche,rock_wedge_failure,NASA_COOLR_Event
NASA-COOLR-2004,2023-01-05,Uttarakhand,Chamoli,Joshimath slope subsidence,30.5582,79.5651,slow_subsidence_slump,toe_erosion_drainage,NASA_COOLR_GLC
NASA-COOLR-2005,2023-08-04,Uttarakhand,Rudraprayag,Gaurikund roadside slide,30.6512,79.0281,debris_flow,torrential_rain,NASA_COOLR_Event
NASA-COOLR-2006,2022-08-20,Uttarakhand,Dehradun,Maldevta Song river debris,30.3452,78.1325,debris_torrent,cloudburst,NASA_COOLR_GLC
NASA-COOLR-2007,2021-10-19,Uttarakhand,Nainital,Naini lake catchment slopes,29.3921,79.4542,rotational_slide,continuous_rain,NASA_COOLR_GLC
NASA-COOLR-2008,2020-07-20,Uttarakhand,Pithoragarh,Dharchula Kali river scarp,29.8514,80.5352,debris_slide,monsoon_rain,NASA_COOLR_Event
NASA-COOLR-2009,2019-08-15,Uttarakhand,Tehri Garhwal,Totaghati NH-58,30.1254,78.5421,rockfall,monsoon_rain,NASA_COOLR_GLC
NASA-COOLR-2010,2021-07-19,Uttarakhand,Uttarkashi,Mando village,30.7291,78.4354,debris_flow,cloudburst,NASA_COOLR_GLC
