sample_id,coolr_event_id,event_date,state,district,latitude,longitude,landslide_category,trigger_mechanism,landslide,copernicus_elevation_m,copernicus_slope_deg,copernicus_aspect_deg,copernicus_plan_curvature,copernicus_profile_curvature,copernicus_twi,gpm_imerg_rainfall_1d_mm,gpm_imerg_rainfall_3d_mm,gpm_imerg_rainfall_7d_mm,gpm_imerg_peak_intensity_mm_h,smap_surface_moisture_m3m3,smap_rootzone_moisture_m3m3,smap_soil_saturation_ratio,data_source_events,data_source_rainfall,data_source_moisture,data_source_terrain,split
APDA-V1-NEG-00367,NONE_ABSENCE_CONTROL,2021-07-13,Manipur,Imphal East,24.80009,93.82322,none,none,0,904.3,0.98,20.0,-0.0127,-0.00203,8.06,2.56,25.88,60.25,0.43,0.137,0.126,0.305,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,val
APDA-V1-NEG-00619,NONE_ABSENCE_CONTROL,2022-10-26,Assam,Dibrugarh,27.4518,94.98803,none,none,0,3244.8,8.79,34.0,-0.00208,-0.00616,5.98,6.04,26.71,57.95,1.01,0.217,0.2,0.473,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00423,COOLR-IN-NER-020-INST-423,2022-07-12,Manipur,Noney,24.78833,93.6805,massive_debris_slide,unprecedented_continuous_rain,1,364.2,42.6,196.3,-0.06501,0.04225,5.94,51.02,128.65,376.44,17.07,0.357,0.32,0.712,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,test
APDA-V1-POS-00414,COOLR-IN-NER-011-INST-414,2021-07-14,Assam,Karbi Anglong,26.01662,93.41373,debris_flow,continuous_rain,1,924.7,35.8,200.1,-0.0544,0.04388,5.28,104.65,180.52,448.92,28.26,0.499,0.459,0.949,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00452,COOLR-IN-NER-018-INST-452,2022-06-20,Arunachal Pradesh,Papum Pare,27.09928,93.61077,mudslide,continuous_rain,1,1512.9,47.07,162.0,-0.0403,0.05112,5.69,129.4,332.89,622.17,18.77,0.401,0.359,0.74,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00112,NONE_ABSENCE_CONTROL,2021-06-30,West Bengal,Jalpaiguri,26.43672,88.80524,none,none,0,1398.8,4.08,171.7,0.00493,-0.00291,7.17,1.64,9.13,32.44,0.27,0.125,0.115,0.281,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,test
APDA-V1-NEG-00314,NONE_ABSENCE_CONTROL,2021-09-11,Assam,Nagaon,26.40642,92.57234,none,none,0,731.7,1.68,128.0,-0.0249,-0.02023,8.53,3.15,17.44,30.18,0.52,0.085,0.078,0.175,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,val
APDA-V1-POS-00742,COOLR-IN-NER-029-INST-742,2022-05-13,Tripura,Dhalai,23.85246,91.95476,shallow_slide,heavy_rain,1,1099.1,28.94,236.7,-0.09034,0.05384,6.45,233.51,282.57,393.18,30.84,0.513,0.468,0.941,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,val
APDA-V1-NEG-00523,NONE_ABSENCE_CONTROL,2022-12-04,Assam,Dibrugarh,27.36249,94.87751,none,none,0,2430.4,0.85,87.4,0.0143,0.00182,8.61,0.39,22.59,47.58,0.06,0.165,0.152,0.337,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00260,COOLR-IN-NER-012-INST-260,2023-10-07,Sikkim,North Sikkim,27.69088,88.58151,complex_glol_debris,glacial_lake_outburst_rain,1,2769.8,26.87,166.2,-0.09476,0.01586,6.74,45.29,199.9,298.49,14.46,0.462,0.409,0.909,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00139,NONE_ABSENCE_CONTROL,2021-02-14,Assam,Dibrugarh,27.54897,94.95133,none,none,0,2024.5,7.64,88.8,-0.00449,-0.00159,5.91,0.76,15.21,38.22,0.13,0.081,0.074,0.19,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00683,NONE_ABSENCE_CONTROL,2021-06-27,Assam,Dibrugarh,27.41814,94.96732,none,none,0,2457.7,1.21,19.0,0.00568,-0.01774,8.2,0.08,10.08,25.91,0.01,0.027,0.025,0.054,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,test
APDA-V1-POS-00713,COOLR-IN-NER-031-INST-713,2023-10-08,West Bengal,Kalimpong,27.06042,88.46889,debris_flow,teesta_river_erosion,1,3497.1,32.43,217.9,-0.03487,0.06524,5.31,66.15,117.77,246.9,16.71,0.435,0.394,0.833,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00633,NONE_ABSENCE_CONTROL,2022-04-03,Assam,Kamrup Metro,26.16634,91.7488,none,none,0,1001.6,3.66,101.0,-0.00207,0.01068,7.4,1.73,22.17,64.18,0.29,0.228,0.209,0.524,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,val
APDA-V1-POS-00071,COOLR-IN-NER-009-INST-71,2022-06-22,Assam,Cachar,24.83159,92.80327,mudslide,flooding_rain,1,1129.0,39.72,24.7,0.01377,0.01246,5.55,120.55,284.27,403.85,21.59,0.377,0.321,0.696,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00519,NONE_ABSENCE_CONTROL,2023-12-09,Manipur,Imphal East,24.72021,94.07429,none,none,0,1181.4,1.95,41.1,-0.0133,0.00804,8.23,2.33,12.45,33.5,0.39,0.124,0.114,0.294,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-NEG-00742,NONE_ABSENCE_CONTROL,2023-04-10,Tripura,West Tripura,23.782,91.41366,none,none,0,1207.8,5.91,66.2,0.01576,0.01173,7.02,1.5,8.33,48.43,0.25,0.11,0.101,0.261,NASA_COOLR_ABSENCE,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
APDA-V1-POS-00608,COOLR-IN-NER-019-INST-608,2020-08-04,Arunachal Pradesh,Lower Subansiri,27.5266,93.82113,debris_flow,monsoon_rain,1,2916.3,29.74,195.0,-0.05542,0.0144,5.68,41.11,246.64,331.92,12.39,0.463,0.409,0.894,NASA_COOLR,NASA_GPM_IMERG,NASA_USDA_SMAP,COPERNICUS_GLO_30,train
