sample_id,source_inventory,latitude,longitude,landslide,copernicus_elevation_m,copernicus_slope_deg,copernicus_aspect_deg,copernicus_plan_curvature,copernicus_profile_curvature,copernicus_twi,gpm_imerg_rainfall_1d_mm,gpm_imerg_rainfall_3d_mm,gpm_imerg_rainfall_7d_mm,gpm_imerg_peak_intensity_mm_h,smap_surface_moisture_m3m3,smap_rootzone_moisture_m3m3,smap_soil_saturation_ratio,sentinel1_sar_vv_db,sentinel1_sar_vh_db,sentinel1_polarimetric_ratio_vh_vv,sentinel1_interferometric_coherence,sentinel2_ndvi,sentinel2_ndwi,sentinel2_bsi,nasa_lhasa_nowcast_score,nasa_lhasa_antecedent_rainfall_index,nasa_lhasa_susceptibility_category,split
APDA-V2-POS-0700,NASA COOLR (Verified Event),25.1844,93.02581,1,1781.9,39.81,121.6,-0.0035,0.06967,4.57,65.52,129.83,293.03,14.94,0.382,0.347,0.68,-7.19,-14.75,-7.56,0.357,0.456,0.424,0.58,0.805,236.3,5.0,train
APDA-V2-NEG-0407,Spatial Negative Buffer Control,25.34239,93.36846,0,864.7,7.52,185.1,0.00902,-0.00564,6.72,1.74,4.27,38.72,0.29,0.195,0.179,0.411,-16.33,-19.69,-3.36,0.847,0.87,-0.238,-0.122,0.087,24.21,1.0,train
APDA-V2-POS-0862,NASA COOLR (Verified Event),25.52753,91.86679,1,941.3,38.99,210.0,-0.09993,0.02518,6.14,114.42,322.21,385.63,22.34,0.352,0.313,0.68,-9.27,-12.67,-3.4,0.353,0.176,0.629,0.441,0.62,291.93,5.0,train
APDA-V2-NEG-0857,Spatial Negative Buffer Control,26.70409,93.19828,0,970.9,12.14,134.3,0.01801,0.00137,6.5,0.26,5.43,22.08,0.04,0.152,0.139,0.303,-18.12,-20.47,-2.35,0.662,0.785,-0.028,-0.153,0.294,12.62,2.0,train
APDA-V2-POS-0575,NASA COOLR (Verified Event),25.0806,93.15437,1,1281.4,37.29,239.7,-0.01983,0.03484,6.02,121.0,224.16,394.37,22.62,0.471,0.43,0.941,-11.39,-9.74,1.65,0.08,0.156,0.637,0.557,0.885,306.99,5.0,train
APDA-V2-NEG-0833,Spatial Negative Buffer Control,26.94269,88.20211,0,1799.5,0.18,55.2,0.0067,-0.02846,9.39,1.97,10.86,45.09,0.33,0.169,0.156,0.392,-10.9,-18.24,-7.34,0.92,0.877,0.101,-0.008,0.412,18.77,1.0,train
APDA-V2-NEG-0082,Spatial Negative Buffer Control,24.08553,92.94904,0,446.1,2.24,17.2,0.01337,-0.01205,7.84,3.46,12.7,52.55,0.58,0.164,0.151,0.337,-16.65,-23.02,-6.36,0.76,0.88,-0.029,-0.031,0.128,22.53,1.0,train
APDA-V2-POS-0697,NASA COOLR (Verified Event),25.43437,92.20403,1,1537.5,31.38,143.7,-0.05183,0.05282,5.42,71.0,144.92,296.4,13.05,0.39,0.343,0.757,-10.38,-14.34,-3.96,0.276,0.48,0.417,0.289,0.95,274.87,5.0,train
APDA-V2-NEG-0752,Spatial Negative Buffer Control,26.65353,93.79496,0,668.7,8.45,62.1,-0.0104,-0.0033,5.17,4.0,17.41,48.78,0.67,0.118,0.109,0.261,-15.4,-25.24,-9.83,0.838,0.88,-0.124,-0.187,0.161,30.35,1.0,train
APDA-V2-NEG-0196,Spatial Negative Buffer Control,24.98254,92.65884,0,441.3,8.65,1.9,-0.00892,0.01344,5.4,3.58,25.08,61.88,0.6,0.248,0.229,0.517,-15.29,-16.0,-0.7,0.559,0.88,0.028,-0.146,0.164,35.77,1.0,train
