date,latitude,longitude,state,rain_1d,rain_3d,rain_7d,rain_30d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,curvature,temporal_split,landslide
2021-04-12,27.1095,88.3351,Sikkim,0.9,5.7,16.1,51.2,0.192,-0.242,345,12.7,133.6,0.004,train,0
2021-07-14,26.0125,93.4215,Assam,156.3,300.1,305.5,810.3,0.535,0.322,359,16.9,107.4,0.026,train,1
2022-01-18,29.9348,78.1448,Uttarakhand,1.9,4.0,4.5,9.0,0.168,-0.331,336,4.0,173.0,0.0037,validation,0
2022-05-15,25.1852,93.0251,Assam,153.7,246.9,390.0,733.6,0.567,0.336,797,23.9,150.1,0.027,validation,1
2016-01-25,24.2017,92.4957,Mizoram,0.4,3.7,7.7,7.8,0.18,-0.157,127,7.7,275.9,0.0033,train,0
2016-01-25,29.1834,78.9284,Uttarakhand,1.5,5.2,5.4,54.9,0.105,-0.215,233,3.8,257.1,0.0121,train,0
2024-03-15,30.2826,78.0403,Uttarakhand,0.4,1.9,3.9,11.8,0.172,-0.276,648,5.6,238.9,0.0175,test,0
2020-08-19,27.2882,88.2454,Sikkim,147.4,256.5,320.1,703.3,0.537,0.245,2260,43.7,7.5,-0.0241,train,1
2014-04-18,32.0891,76.2938,Himachal Pradesh,6.5,7.0,12.4,21.0,0.197,-0.139,754,7.2,149.3,-0.0091,train,0
2022-11-15,30.2926,77.9941,Uttarakhand,0.3,2.9,6.2,46.4,0.182,-0.265,632,5.3,212.5,-0.0093,validation,0
2021-04-12,25.9397,93.6902,Nagaland,0.5,1.2,2.8,45.8,0.147,-0.233,163,3.1,175.4,-0.0028,train,0
2014-04-18,28.0486,95.2891,Arunachal Pradesh,2.0,7.4,15.5,18.3,0.175,-0.158,167,7.1,304.5,0.0045,train,0
2022-01-18,31.2996,76.7726,Himachal Pradesh,0.1,1.3,12.5,12.9,0.181,-0.28,595,8.3,226.4,0.0151,validation,0
2020-07-15,26.1025,94.2651,Nagaland,149.4,255.6,451.8,1133.4,0.59,0.269,1896,24.3,307.3,0.0195,train,1
2025-01-15,29.2115,78.9583,Uttarakhand,0.0,1.3,4.2,13.4,0.158,-0.217,228,3.5,292.7,0.0087,test,0
2025-01-15,31.3142,76.733,Himachal Pradesh,0.9,2.2,7.5,9.0,0.197,-0.103,624,7.8,111.4,0.0126,test,0
2017-08-13,31.8542,76.9214,Himachal Pradesh,162.3,348.9,348.9,924.5,0.554,0.307,2329,28.5,32.4,0.0142,train,1
2024-09-10,26.2112,91.7507,Assam,27.4,32.8,67.8,155.6,0.223,-0.006,73,2.2,192.7,-0.0114,test,0
