sample_id,latitude,longitude,rain_1h,rain_6h,rain_24h,rain_3d,rain_7d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,landslide,split
APDA-ROADMAP-NEG-0861,25.90196,92.05611,0.16,7.93,10.6,33.0,42.65,0.142,0.007,618.5,1.33,30.4,0,train
APDA-ROADMAP-POS-0354,27.34913,92.41822,4.8,52.37,143.62,283.42,370.67,0.475,0.23,1471.3,31.95,189.1,1,train
APDA-ROADMAP-NEG-0334,27.80121,92.57967,0.96,4.18,7.99,32.43,38.54,0.126,-0.075,834.4,13.24,8.1,0,train
APDA-ROADMAP-POS-0906,25.18327,93.02764,8.0,26.37,60.84,181.14,253.79,0.406,0.21,1058.0,43.59,146.1,1,train
APDA-ROADMAP-NEG-0290,26.43358,93.0287,0.47,1.02,11.32,12.45,12.5,0.158,-0.016,487.6,8.24,121.3,0,train
APDA-ROADMAP-NEG-0274,27.76156,92.1699,0.22,5.69,15.82,26.41,43.28,0.177,0.012,312.3,0.49,155.6,0,train
APDA-ROADMAP-POS-0939,25.67511,94.11417,3.03,60.7,130.34,268.92,389.08,0.455,0.254,1140.0,39.8,174.8,1,train
APDA-ROADMAP-NEG-0732,27.78544,88.23014,1.91,7.71,12.28,13.63,19.54,0.213,-0.017,210.0,3.74,69.9,0,train
APDA-ROADMAP-POS-0066,25.18555,93.02789,23.47,47.12,103.62,235.47,336.18,0.415,0.27,1140.9,31.85,141.5,1,train
APDA-ROADMAP-NEG-0324,25.66147,91.94342,1.15,3.4,10.25,23.48,30.68,0.094,-0.015,725.0,0.95,317.6,0,train
APDA-ROADMAP-POS-0057,24.78409,93.68055,13.14,51.04,189.89,288.6,464.48,0.333,0.197,680.6,45.12,176.6,1,train
APDA-ROADMAP-NEG-0293,27.34272,87.88745,2.21,9.38,10.25,14.99,28.84,0.08,-0.045,599.9,6.08,224.0,0,train
APDA-ROADMAP-NEG-0119,25.46199,93.76474,0.92,4.25,12.39,35.21,58.76,0.08,-0.048,376.7,7.61,346.5,0,train
APDA-ROADMAP-POS-0585,25.60558,90.5836,15.06,38.15,80.46,147.89,354.97,0.332,0.232,852.9,24.33,217.8,1,train
APDA-ROADMAP-POS-0375,27.58284,91.86421,14.39,61.92,132.63,256.8,313.55,0.457,0.209,1537.2,40.78,354.0,1,train
APDA-ROADMAP-POS-0276,27.09773,93.61684,10.84,53.25,135.44,220.53,384.85,0.449,0.198,1788.3,37.5,302.4,1,train
APDA-ROADMAP-POS-0747,25.0703,93.15391,17.36,77.02,112.65,238.68,429.21,0.32,0.222,1261.9,47.72,140.9,1,train
APDA-ROADMAP-POS-0129,26.17766,91.75636,13.95,68.02,142.37,261.85,316.37,0.351,0.238,802.4,43.53,177.7,1,train
APDA-ROADMAP-NEG-0647,24.78089,93.5299,1.51,3.18,12.63,19.04,24.23,0.28,0.045,259.0,2.45,288.6,0,train
APDA-ROADMAP-NEG-0853,27.49283,88.52911,0.31,0.78,9.07,17.86,26.91,0.08,-0.065,240.4,9.47,95.5,0,train
APDA-ROADMAP-POS-0675,27.58159,91.86462,10.54,63.08,171.75,260.87,492.85,0.506,0.218,1654.7,23.87,227.9,1,train
APDA-ROADMAP-NEG-0665,25.29299,90.20647,0.64,5.14,17.3,35.33,63.86,0.08,-0.042,173.7,2.87,39.9,0,train
APDA-ROADMAP-NEG-0982,24.83057,91.9423,0.64,4.55,7.29,15.37,20.28,0.154,-0.041,243.5,0.08,5.3,0,train
APDA-ROADMAP-NEG-0084,25.76003,92.49308,0.42,7.82,11.05,15.81,21.14,0.105,-0.033,837.6,0.03,204.1,0,train
APDA-ROADMAP-NEG-0923,26.00729,91.61284,0.04,1.3,6.2,17.94,24.28,0.08,-0.072,668.5,2.43,252.8,0,train
APDA-ROADMAP-POS-0100,27.03491,88.26321,9.75,34.76,117.67,261.68,351.46,0.397,0.265,1423.6,30.45,208.3,1,train
APDA-ROADMAP-NEG-0180,26.8031,88.48722,0.17,3.57,7.1,28.23,54.53,0.201,-0.042,375.6,2.21,32.1,0,train
APDA-ROADMAP-POS-0965,25.60384,90.58297,8.08,31.07,74.64,124.44,271.14,0.464,0.164,1274.8,39.34,234.5,1,train
APDA-ROADMAP-POS-0793,27.184,88.35644,13.52,34.39,88.42,170.55,407.12,0.448,0.162,1819.7,39.34,201.0,1,train
APDA-ROADMAP-POS-0030,26.0134,93.41632,15.65,68.29,216.98,334.82,551.02,0.376,0.253,1055.4,36.15,141.1,1,train
APDA-ROADMAP-POS-0629,26.17032,91.75785,19.6,50.71,178.62,324.61,448.4,0.32,0.195,1010.7,32.88,104.3,1,train
APDA-ROADMAP-POS-0945,25.59936,90.58319,19.5,57.83,125.0,166.39,254.91,0.32,0.226,1246.5,35.11,224.5,1,train
APDA-ROADMAP-POS-0573,27.18484,88.35531,6.24,42.65,180.08,330.69,412.2,0.32,0.156,1428.3,42.24,143.6,1,train
APDA-ROADMAP-POS-0908,24.82869,92.80487,14.38,73.36,184.78,247.01,395.01,0.394,0.196,612.6,36.02,141.4,1,train
APDA-ROADMAP-NEG-0081,25.20379,92.21666,0.31,1.67,4.78,10.61,11.11,0.141,-0.062,143.8,3.81,21.9,0,train
APDA-ROADMAP-POS-0451,27.68968,88.5885,18.11,45.16,91.67,229.4,303.6,0.38,0.173,1380.2,40.35,111.8,1,train
APDA-ROADMAP-NEG-0610,25.7956,93.24559,0.67,2.19,8.06,8.79,27.59,0.256,-0.108,420.4,1.51,201.8,0,train
APDA-ROADMAP-NEG-0291,27.34012,88.22511,2.22,9.26,17.59,32.47,57.92,0.166,-0.059,730.6,6.93,296.5,0,train
APDA-ROADMAP-NEG-0079,25.91178,93.95943,0.12,7.85,8.25,20.36,48.52,0.238,-0.047,199.4,2.67,156.2,0,train
APDA-ROADMAP-POS-0255,27.58596,91.86459,6.7,52.74,103.84,174.77,256.91,0.473,0.125,1611.2,42.26,172.6,1,train
APDA-ROADMAP-POS-0125,25.60112,90.58263,21.52,61.81,107.0,252.21,398.83,0.379,0.184,1165.6,39.47,251.4,1,train
APDA-ROADMAP-NEG-0928,24.66288,93.01295,0.1,4.99,6.13,21.01,54.92,0.12,-0.061,787.1,15.0,99.8,0,train
APDA-ROADMAP-POS-0252,27.33006,88.62128,6.82,57.4,189.38,366.76,547.88,0.394,0.183,1477.4,37.44,222.1,1,train
APDA-ROADMAP-POS-0586,25.185,93.02806,5.55,57.8,192.6,299.86,546.85,0.396,0.216,999.4,23.66,293.1,1,train
APDA-ROADMAP-NEG-0569,25.82087,91.96356,0.13,1.91,3.6,21.09,47.49,0.125,0.019,849.0,0.6,322.3,0,train
APDA-ROADMAP-POS-0825,25.60274,90.58544,22.83,61.1,158.82,319.02,541.64,0.375,0.219,1136.7,37.63,237.4,1,train
APDA-ROADMAP-POS-0508,24.83003,92.79931,9.5,68.81,112.38,251.16,469.7,0.367,0.157,634.2,43.52,194.1,1,train
APDA-ROADMAP-POS-0890,26.01352,93.4203,4.28,24.27,168.57,285.46,510.4,0.34,0.194,917.0,44.85,182.6,1,train
APDA-ROADMAP-POS-0071,27.69385,88.58866,11.12,68.09,145.07,231.17,365.89,0.447,0.149,1791.5,28.99,175.9,1,train
APDA-ROADMAP-NEG-0609,25.85125,91.5192,0.76,3.73,10.45,23.65,35.23,0.211,-0.018,686.0,5.5,133.3,0,train
APDA-ROADMAP-NEG-0533,26.95879,88.12573,1.28,6.28,14.68,27.4,51.54,0.28,-0.06,815.1,4.31,331.1,0,train
APDA-ROADMAP-POS-0248,24.83375,92.8012,6.79,55.82,124.39,246.85,395.15,0.32,0.217,480.3,28.91,186.0,1,train
APDA-ROADMAP-NEG-0451,27.92632,88.41168,0.78,5.08,9.88,21.85,52.13,0.08,-0.102,118.3,11.96,95.0,0,train
APDA-ROADMAP-POS-0213,27.18219,88.35528,5.61,26.0,175.89,273.61,314.02,0.489,0.161,1669.0,35.04,202.0,1,train
APDA-ROADMAP-POS-0910,26.00723,93.41942,14.99,44.9,103.42,161.36,224.99,0.355,0.161,1160.7,36.06,177.3,1,train
APDA-ROADMAP-NEG-0742,25.79667,92.05825,1.37,7.63,21.77,25.64,42.71,0.126,-0.076,336.0,0.1,5.6,0,train
APDA-ROADMAP-NEG-0245,25.40948,91.01247,0.25,2.09,14.73,19.37,47.03,0.124,-0.085,397.6,11.83,10.9,0,train
APDA-ROADMAP-NEG-0697,25.03621,93.27528,0.01,1.08,15.26,28.69,55.59,0.187,-0.107,116.2,0.97,166.1,0,train
APDA-ROADMAP-NEG-0183,25.36053,91.50966,0.16,0.41,9.82,28.12,36.18,0.153,-0.05,130.5,2.11,76.5,0,train
