date,latitude,longitude,rain_24h,rain_7d,soil_moisture,elevation,slope,landslide
2023-07-12,31.258,77.725,115.0,310.0,0.48,1850,33.0,1
2022-07-28,29.939,79.904,98.0,260.0,0.46,1100,30.0,1
2023-03-20,30.9251,77.1306,0.9,4.3,0.121,1508,12.8,0
2021-08-27,30.534,79.512,135.0,310.0,0.5,1650,39.0,1
2023-02-15,30.0891,78.2916,2.7,4.4,0.121,372,5.9,0
2022-07-16,32.553,75.965,110.0,260.0,0.46,1050,34.5,1
2023-07-02,31.4782,76.2767,44.4,72.6,0.287,393,6.4,0
2023-01-10,31.1217,77.2068,0.4,1.2,0.152,2412,34.5,0
2023-04-12,31.3379,76.7685,0.7,2.3,0.143,630,10.2,0
2023-04-12,30.8874,77.0805,0.6,0.7,0.142,1496,12.1,0
2013-06-17,30.485,79.089,170.0,410.0,0.53,1310,36.5,1
2023-01-10,32.382,77.2231,0.3,0.7,0.105,3965,46.4,0
2021-10-19,29.375,79.525,205.0,380.0,0.55,1750,33.0,1
2023-06-15,31.4339,76.2743,46.9,108.5,0.332,371,5.6,0
2021-07-30,30.652,77.625,105.0,280.0,0.47,1350,44.0,1
2023-07-02,31.363,76.7461,16.2,51.2,0.349,595,10.1,0
2023-08-05,31.3709,76.7479,25.3,107.2,0.373,627,11.2,0
2023-01-10,29.1912,78.9395,4.3,6.5,0.199,240,3.3,0
2023-07-11,31.834,77.198,140.0,370.0,0.51,1420,37.0,1
2023-01-10,31.4581,76.2367,1.8,5.5,0.152,350,6.2,0
2022-08-19,32.218,76.32,165.0,380.0,0.53,1550,31.0,1
2023-01-10,30.1204,78.2916,1.2,10.4,0.19,400,5.8,0
2023-03-20,29.9668,78.1399,0.0,7.6,0.181,335,5.0,0
2023-04-12,29.8306,80.3499,0.4,6.6,0.129,2360,39.4,0
2023-02-15,30.4898,78.0601,0.7,0.9,0.16,2081,36.5,0
2023-03-20,30.7518,79.5153,1.0,1.4,0.146,3143,45.5,0
2023-04-12,31.5051,76.231,4.2,4.4,0.199,403,5.1,0
2023-08-05,29.9249,78.1568,39.2,80.2,0.26,302,3.7,0
2023-01-10,29.2492,79.499,0.6,1.0,0.168,426,4.9,0
2023-07-02,30.3407,78.0164,15.5,88.4,0.307,644,4.9,0
2022-07-28,30.325,79.225,115.0,290.0,0.49,1180,34.0,1
2023-07-22,30.4061,77.6387,30.7,109.8,0.318,405,6.6,0
2023-08-05,30.8802,77.0787,17.8,55.9,0.287,1526,12.0,0
2020-08-11,30.015,79.512,120.0,275.0,0.48,1420,32.0,1
2021-07-25,31.433,78.275,32.0,110.0,0.38,2680,55.0,1
2021-10-19,29.472,79.648,190.0,360.0,0.54,2280,36.0,1
2023-01-10,30.7572,79.082,1.8,5.7,0.112,3579,41.1,0
2023-08-05,30.5742,77.2581,40.8,109.8,0.261,958,12.6,0
2023-01-10,32.1274,76.2853,0.8,1.3,0.159,718,7.9,0
2023-02-15,30.7646,79.052,0.7,4.3,0.17,3625,41.2,0
2022-07-08,30.985,78.685,125.0,290.0,0.49,2450,39.0,1
2023-03-20,31.3231,76.7189,2.8,3.2,0.142,642,11.1,0
2023-04-12,29.2443,78.9543,4.1,19.0,0.195,216,2.3,0
2023-03-20,30.1114,78.2959,0.0,3.2,0.152,354,5.9,0
2023-07-02,30.911,77.1059,38.8,94.0,0.267,1500,12.4,0
2023-08-15,31.121,77.152,132.0,395.0,0.54,2100,35.0,1
2023-03-20,32.0993,76.2975,1.3,2.1,0.117,709,8.4,0
2023-01-10,30.4518,77.598,2.9,10.7,0.205,409,6.2,0
2023-01-10,32.2021,77.9998,0.1,4.3,0.153,3668,46.1,0
2023-02-15,30.3453,78.0401,1.5,1.6,0.207,627,7.0,0
2023-03-20,29.888,77.9182,0.4,5.3,0.192,274,2.8,0
2023-07-22,30.2788,78.0647,21.3,92.7,0.291,647,6.1,0
2021-02-07,30.495,79.692,10.0,40.0,0.34,2050,45.0,1
2023-04-12,32.3609,77.224,1.1,3.2,0.167,4003,42.2,0
2023-01-10,30.8729,77.0812,2.0,8.2,0.128,1499,12.1,0
2023-07-22,32.1242,76.2515,16.3,90.1,0.332,749,9.1,0
2023-06-15,29.8721,77.9198,43.9,123.5,0.333,256,1.4,0
2021-07-19,30.729,78.435,140.0,320.0,0.5,1320,32.5,1
2023-04-12,29.2205,79.5153,1.2,7.0,0.208,418,6.3,0
2013-06-17,30.588,79.045,195.0,450.0,0.56,1540,38.0,1
2023-01-10,31.5548,78.1015,0.4,10.5,0.109,2587,48.5,0
2023-08-05,29.1978,79.5005,39.3,65.3,0.265,406,4.9,0
2023-04-12,30.073,78.3024,0.5,3.8,0.18,405,6.3,0
2023-02-15,29.8401,80.3682,0.0,1.0,0.132,2383,39.2,0
2021-08-11,31.545,77.922,48.0,165.0,0.42,1950,52.0,1
2023-08-13,30.985,77.098,138.0,340.0,0.49,1450,31.0,1
2023-01-05,30.558,79.565,15.0,38.0,0.36,1890,26.0,1
2023-07-22,30.9197,77.1047,24.8,118.9,0.329,1487,12.2,0
2023-07-09,31.708,76.932,155.0,390.0,0.53,850,39.0,1
2022-08-20,30.345,78.132,185.0,350.0,0.53,860,28.0,1
2023-07-02,29.2337,79.5047,18.2,54.2,0.283,439,6.4,0
2023-01-10,30.4308,78.0698,0.2,8.3,0.112,2016,37.6,0
2023-02-15,29.8279,77.9033,0.6,13.0,0.124,249,2.1,0
2023-08-14,31.215,77.085,125.0,330.0,0.47,1350,33.0,1
2023-02-15,31.6019,78.119,0.2,0.7,0.153,2554,51.1,0
2023-02-15,30.4305,77.6596,2.4,2.6,0.113,421,5.1,0
2023-08-14,31.109,77.135,145.0,380.0,0.52,2040,38.5,1
2023-06-15,30.8776,77.1302,33.4,105.9,0.353,1486,13.0,0
2023-06-15,30.4767,77.6294,39.7,130.8,0.36,400,4.7,0
