event_id,event_date,latitude,longitude,state,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,curvature,landslide,sample_type
APDA-NEG-00094,2010-04-03,28.0,93.75,Arunachal Pradesh,8.44,23.51,52.38,111.57,117.58,0.72,1.4667,576.05,30.81,45.85,0.021021,0,negative
APDA-NEG-01476,2017-04-06,30.5,80.0,Uttarakhand,14.5,28.33,28.47,29.79,51.3,0.55,0.3333,5403.64,16.29,342.16,0.008133,0,negative
7910,2015-08-01,24.348,94.115,Manipur,3.7,100.7,118.29,220.65,329.07,0.87,1.5219,1024.64,21.97,187.19,-0.011288,1,positive
APDA-NEG-01664,2018-04-27,30.5,80.0,Uttarakhand,0.42,0.43,2.69,5.09,42.5,0.55,0.3333,5403.64,16.29,342.16,0.008133,0,negative
7371,2015-08-01,23.994,94.057,Manipur,5.31,82.66,101.37,202.03,310.51,0.86,1.9581,989.16,7.63,159.15,-0.012634,1,positive
APDA-NEG-00454,2013-08-16,32.5,76.875,Himachal Pradesh,23.4,86.42,114.26,238.45,341.46,0.95,3.0,5101.1,32.0,358.76,0.004829,0,negative
APDA-NEG-00976,2007-07-27,25.5,92.5,Meghalaya,20.88,86.34,134.91,245.77,368.93,0.94,2.9333,1063.07,25.33,13.62,-0.014165,0,negative
APDA-NEG-00898,2011-06-28,24.5,93.125,Manipur,13.69,72.4,117.07,181.68,298.53,0.87,2.4667,489.42,31.49,307.92,0.01086,0,negative
APDA-NEG-00130,2016-04-22,29.0,96.25,Arunachal Pradesh,2.85,35.24,45.16,103.72,144.05,0.83,2.2,4424.4,28.85,66.8,0.001741,0,negative
APDA-NEG-00362,2016-09-02,33.0,77.5,Himachal Pradesh,2.35,8.99,25.48,49.07,104.58,0.65,1.0,5155.49,22.24,314.26,0.012153,0,negative
4924,2013-06-17,30.735,79.067,Uttarakhand,57.07,228.69,303.23,328.26,336.01,0.91,2.6617,3547.79,2.66,347.7,0.00333,1,positive
4928,2013-06-16,30.462,79.077,Uttarakhand,116.18,191.89,260.12,271.19,278.94,0.93,2.8143,1020.84,39.52,273.72,0.005827,1,positive
APDA-NEG-00102,2013-08-01,28.5,95.625,Arunachal Pradesh,0.46,23.83,37.95,216.83,350.8,0.9,2.6667,2215.04,37.28,283.93,-0.000253,0,negative
APDA-NEG-00230,2014-09-22,27.0,94.375,Assam,17.23,68.81,102.56,225.45,314.66,0.94,2.9333,86.0,0.0,0.0,0.0,0,negative
APDA-NEG-01182,2017-06-24,26.0,95.0,Nagaland,24.08,60.1,82.64,162.69,306.66,0.93,2.8667,1150.77,10.47,188.47,-0.011555,0,negative
APDA-NEG-00308,2017-04-04,25.0,90.625,Assam,15.92,83.76,212.66,326.58,418.81,0.83,2.2,9.45,0.41,97.51,-0.000647,0,negative
APDA-NEG-00832,2017-06-27,24.5,94.375,Manipur,1.64,12.33,68.69,118.79,279.0,0.77,1.8,319.22,17.67,30.12,-0.00491,0,negative
APDA-NEG-00857,2015-06-19,24.5,93.125,Manipur,5.92,12.23,54.18,194.24,342.73,0.82,2.1333,489.42,31.49,307.92,0.01086,0,negative
5215,2013-07-27,30.452,78.754,Uttarakhand,2.09,8.34,82.42,231.18,407.7,0.94,1.1568,2025.68,19.88,31.56,0.000584,1,positive
APDA-NEG-00786,2015-08-01,25.0,93.125,Manipur,13.93,93.0,107.23,259.26,462.73,0.95,3.0,275.9,30.23,93.66,-0.002097,0,negative
APDA-NEG-01299,2007-09-07,27.15,88.1,Sikkim,42.18,104.01,140.79,202.29,332.25,0.93,2.8667,2395.93,26.81,256.33,0.013169,0,negative
APDA-NEG-00834,2010-10-08,24.0,94.375,Manipur,65.32,120.02,126.11,144.81,212.21,0.88,2.5333,308.07,14.0,233.72,-0.007124,0,negative
APDA-NEG-01216,2017-04-07,26.0,95.0,Nagaland,4.72,6.28,77.94,140.3,182.02,0.8,2.0,1150.77,10.47,188.47,-0.011555,0,negative
APDA-NEG-00772,2017-07-09,24.5,93.125,Manipur,9.71,42.19,100.11,231.22,524.05,0.95,3.0,489.42,31.49,307.92,0.01086,0,negative
APDA-NEG-01329,2010-07-21,27.15,88.1,Sikkim,17.74,87.19,185.76,322.88,555.74,0.94,2.9333,2395.93,26.81,256.33,0.013169,0,negative
APDA-NEG-00984,2019-07-09,25.0,90.625,Meghalaya,115.12,216.72,280.01,534.83,801.96,0.98,3.2,9.45,0.41,97.51,-0.000647,0,negative
APDA-NEG-01327,2010-06-01,27.15,88.1,Sikkim,2.67,17.32,37.48,121.37,185.33,0.59,0.6,2395.93,26.81,256.33,0.013169,0,negative
APDA-NEG-01573,2011-07-21,31.0,79.375,Uttarakhand,1.75,26.87,58.37,83.01,173.69,0.78,1.8667,5085.99,17.29,81.7,0.00088,0,negative
APDA-NEG-01774,2013-07-12,30.5,80.0,Uttarakhand,1.42,8.12,62.21,85.38,282.35,0.79,1.9333,5403.64,16.29,342.16,0.008133,0,negative
APDA-NEG-01348,2017-05-26,27.15,88.1,Sikkim,11.5,17.77,37.86,101.18,174.78,0.62,0.8,2395.93,26.81,256.33,0.013169,0,negative
