event_id,date_std,timestamp_utc,year,state,latitude,longitude,event_title,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,source_name,source_catalog,source_record_id,source_dataset,source_link,verification_basis,data_quality_flag
585,2008-06-14,2008-06-14 05:30:00,2008,Arunachal Pradesh,27.1,93.629,"Itanagar-Naharlagun, Arunachal Pradesh","Itanagar-Naharlagun, Arunachal Pradesh",Known within 25 km,Landslide,Rain,Large,Unknown,21,,ukpress.google,GLC,585.0,NASA COOLR,http://ukpress.google.com/article/ALeqM5iM8gWKcS4OLf66hwzNMnaybAaZYA,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
870,2008-10-29,2008-10-29 05:30:00,2008,Arunachal Pradesh,27.4,92.35,"West Kameng, Arunachal Pradesh","West Kameng, Arunachal Pradesh",Known within 50 km,Mudslide,Downpour,Medium,Unknown,12,,sindhtoday,GLC,870.0,NASA COOLR,http://www.sindhtoday.net/south-asia/32058.htm,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
1084,2009-08-12,2009-08-12 05:30:00,2009,Arunachal Pradesh,27.7,92.8,"Upper Subansiri District, Arunanchal Pradesh","Upper Subansiri District, Arunanchal Pradesh",Known within 5 km,Landslide,Downpour,Medium,Unknown,0,,timesofindia.indiatimes,GLC,1084.0,NASA COOLR,http://timesofindia.indiatimes.com/news/city/guwahati/Landslides-snap-road-links-in-Arunachal-district/articleshow/4916000.cms,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
1613,2010-04-03,2010-04-03 04:30:00,2010,Arunachal Pradesh,27.9,93.35,"Koloriang, Kuring Kumey district, Arunachal Pradesh","Koloriang, Kuring Kumey district, Arunachal Pradesh",Known within 1 km,Mudslide,Downpour,Large,Unknown,12,,english.peopledaily,GLC,1613.0,NASA COOLR,http://english.peopledaily.com.cn/90001/90777/90852/6938742.html,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
1775,2010-04-21,2010-04-21 05:30:00,2010,Arunachal Pradesh,27.897,96.178,Arunachal Pradesh ,Arunachal Pradesh ,Location not known,Landslide,Downpour,Medium,Unknown,12,,gsi.gov,GLC,1775.0,NASA COOLR,"http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL",COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
1930,2010-05-31,2010-05-31 05:30:00,2010,Arunachal Pradesh,28.43,95.878,"Anini-Roing road,  Dibang Valley,  Arunachal Pradesh ","Anini-Roing road,  Dibang Valley,  Arunachal Pradesh ",Known within 50 km,Landslide,Downpour,Medium,Unknown,0,,indianexpress,GLC,1930.0,NASA COOLR,http://www.indianexpress.com/news/N-E-border-dist-cut-off-by-landslides--runs-out-of-supplies/627610,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
2405,2010-09-10,2010-09-10 04:30:00,2010,Arunachal Pradesh,28.304,95.411,"Mossing(Mosing) village(?), Upper Siang district, Arunachal Pradesh","Mossing(Mosing) village(?), Upper Siang district, Arunachal Pradesh",Location not known,Landslide,Downpour,Medium,Unknown,10,,timesofindia.indiatimes,GLC,2405.0,NASA COOLR,http://timesofindia.indiatimes.com/india/13-killed-as-rains-wrack-havoc-in-north-and-eastern-India-/articleshow/6532367.cms,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
2411,2010-09-10,2010-09-10 05:30:00,2010,Arunachal Pradesh,27.001,93.727,"districts Lakhimpur, Dhemaji, Golaghat, and Sonitpur, Assam province","districts Lakhimpur, Dhemaji, Golaghat, and Sonitpur, Assam province",Location not known,Landslide,Downpour,Medium,Unknown,0,,timesofindia.indiatimes,GLC,2411.0,NASA COOLR,http://timesofindia.indiatimes.com/india/13-killed-as-rains-wrack-havoc-in-north-and-eastern-India-/articleshow/6532367.cms,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
2539,2010-10-03,2010-10-03 05:30:00,2010,Arunachal Pradesh,28.309,95.415,"Mosing village, Upper Siang district, Arunachal Pradesh","Mosing village, Upper Siang district, Arunachal Pradesh",Known within 25 km,Landslide,Downpour,Medium,Unknown,10,,gsi.gov,GLC,2539.0,NASA COOLR,"http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL",COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
2743,2010-11-22,2010-11-22 05:30:00,2010,Arunachal Pradesh,27.58,91.857,"Tawang Monastery, Arunachal Pradesh","Tawang Monastery, Arunachal Pradesh",Known within 1 km,Landslide,Unknown,Medium,Natural slope,,,Daily News and Analysis,GLC,2743.0,NASA COOLR,http://www.dnaindia.com/india/report_tawang-monastery-faces-danger-due-to-landslides_1472890,COOLR administrative division; Uttaranchal normalized to Uttarakhand,OK
