event_id,event_date,latitude,longitude,state,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d
57,2007-04-11,27.446,88.619,Sikkim,0.01,8.45,9.91,10.18,15.07
78,2007-05-23,27.338,88.607,Sikkim,0.09,2.4,28.81,62.6,91.16
126,2007-07-16,27.15,88.38,Sikkim,15.14,46.44,126.22,167.19,268.15
130,2007-07-19,26.17,91.799,Assam,24.86,59.05,102.7,150.47,266.38
141,2007-07-26,25.38,91.88,Meghalaya,34.95,113.14,176.0,317.79,462.79
142,2007-07-27,25.521,90.232,Meghalaya,34.65,104.6,170.2,385.05,452.12
146,2007-07-30,30.733,78.439,Uttarakhand,58.29,83.93,119.33,211.5,461.66
147,2007-07-30,22.533,92.899,Mizoram,0.31,3.17,25.87,143.21,228.9
148,2007-07-30,22.479,92.967,Mizoram,0.31,3.17,25.87,143.21,228.9
149,2007-07-30,30.557,79.56,Uttarakhand,35.29,62.41,98.8,162.6,338.39
150,2007-07-30,30.4,79.349,Uttarakhand,35.29,62.41,98.8,162.6,338.39
173,2007-08-11,30.07,78.303,Uttarakhand,8.81,24.85,83.8,357.64,509.21
177,2007-08-12,32.733,77.591,Himachal Pradesh,12.5,22.24,43.86,119.56,163.9
178,2007-08-12,32.099,76.267,Himachal Pradesh,8.91,9.84,56.2,141.47,209.94
211,2007-08-26,24.967,93.55,Manipur,5.9,7.74,30.56,85.08,114.31
212,2007-08-26,25.558,91.851,Meghalaya,40.07,55.66,69.77,173.25,357.92
213,2007-08-26,25.295,92.834,Assam,13.28,16.62,43.01,112.83,165.03
215,2007-08-28,25.743,93.914,Nagaland,3.08,14.24,39.03,85.52,121.43
220,2007-08-31,25.133,93.967,Manipur,1.28,4.27,19.59,52.18,103.33
237,2007-09-06,29.583,80.217,Uttarakhand,0.4,36.17,117.56,169.78,307.55
241,2007-09-07,27.201,88.488,Sikkim,48.76,109.89,146.28,204.69,333.64
247,2007-09-08,25.06,93.988,Manipur,19.36,74.29,123.8,145.85,226.53
251,2007-09-09,27.167,88.35,Sikkim,4.33,53.08,140.42,199.91,340.7
252,2007-09-09,25.499,94.119,Manipur,7.1,33.68,96.99,119.93,204.64
255,2007-09-10,24.245,94.069,Manipur,0.73,10.16,46.05,53.75,95.69
256,2007-09-10,27.343,88.624,Sikkim,3.95,11.79,84.86,121.61,221.14
258,2007-09-11,24.428,94.056,Manipur,6.06,13.55,105.1,128.02,203.9
259,2007-09-11,25.52,91.27,Meghalaya,7.02,51.55,272.63,370.33,539.82
260,2007-09-11,27.208,88.491,Sikkim,6.06,18.55,137.3,206.44,336.55
264,2007-09-13,26.183,91.8,Assam,2.25,9.52,143.47,300.49,391.61
269,2007-09-18,27.287,88.282,Sikkim,2.0,5.16,51.6,137.09,216.41
285,2007-09-29,24.129,92.692,Mizoram,4.42,4.61,5.81,15.48,252.3
313,2007-10-16,25.706,94.013,Nagaland,15.77,31.91,39.47,71.89,88.92
319,2007-10-19,25.438,94.116,Manipur,4.3,5.51,37.4,69.66,83.19
322,2007-10-21,24.75,93.433,Manipur,2.38,19.51,65.78,121.83,136.18
481,2008-03-17,32.286,77.161,Himachal Pradesh,0.0,0.0,0.7,0.74,2.1
545,2008-05-20,24.985,92.841,Assam,5.6,22.56,69.88,92.75,127.3
568,2008-06-03,31.208,77.193,Himachal Pradesh,0.25,5.85,14.94,63.94,92.26
580,2008-06-09,24.66,93.978,Manipur,4.16,12.25,17.99,41.96,126.36
585,2008-06-14,27.1,93.629,Arunachal Pradesh,42.4,85.43,148.59,261.42,427.26
587,2008-06-15,27.23,94.099,Assam,1.5,64.37,149.51,252.6,433.44
592,2008-06-18,32.371,77.247,Himachal Pradesh,5.16,12.36,79.16,101.84,136.17
594,2008-06-19,24.934,93.828,Manipur,6.03,24.82,47.27,89.31,140.97
653,2008-07-18,29.33,80.1,Uttarakhand,56.24,143.31,215.2,270.09,359.62
692,2008-08-07,25.705,94.04,Nagaland,0.82,12.78,35.98,92.93,210.21
697,2008-08-08,31.13,77.09,Himachal Pradesh,39.24,51.75,122.25,204.16,333.3
714,2008-08-14,27.163,94.0,Assam,10.32,32.41,71.73,177.3,334.23
715,2008-08-14,31.0,77.12,Himachal Pradesh,28.03,111.29,208.01,328.56,422.73
725,2008-08-17,31.1,77.16,Himachal Pradesh,7.29,41.42,182.94,320.47,432.56
731,2008-08-19,26.138,94.25,Nagaland,29.74,62.14,110.29,187.11,286.31
755,2008-08-28,27.337,88.609,Sikkim,3.56,14.14,30.97,103.28,230.27
760,2008-08-29,25.67,94.107,Nagaland,5.84,16.36,22.51,113.43,240.27
