event_id,event_date,latitude,longitude,state,soil_moisture,soil_moisture_anomaly,soil_moisture_rootzone,soil_moisture_rootzone_anomaly,soil_moisture_anomaly_diff
585,2008-06-14,27.1,93.629,Arunachal Pradesh,0.85,1.2112,0.76,0.6435,0.1088
870,2008-10-29,27.4,92.35,Arunachal Pradesh,0.81,0.3488,0.81,0.484,0.0092
1084,2009-08-12,27.7,92.8,Arunachal Pradesh,0.79,-1.1384,0.76,-1.396,-0.0481
1613,2010-04-03,27.9,93.35,Arunachal Pradesh,0.68,0.2815,0.67,0.7029,0.0065
1775,2010-04-21,27.897,96.178,Arunachal Pradesh,0.91,2.4306,0.86,2.52,0.2509
1930,2010-05-31,28.43,95.878,Arunachal Pradesh,0.88,1.4141,0.89,1.5522,0.1044
2405,2010-09-10,28.304,95.411,Arunachal Pradesh,0.97,2.0178,1.0,1.6128,0.0766
2411,2010-09-10,27.001,93.727,Arunachal Pradesh,0.95,1.3497,0.98,1.2565,0.066
2539,2010-10-03,28.309,95.415,Arunachal Pradesh,0.9,0.5765,0.93,0.6341,0.0207
2743,2010-11-22,27.58,91.857,Arunachal Pradesh,0.74,0.5155,0.72,0.658,0.0125
3269,2011-03-22,28.079,96.524,Arunachal Pradesh,0.79,2.1494,0.74,2.3332,0.1795
3776,2011-07-15,27.125,93.715,Arunachal Pradesh,0.88,0.6027,0.86,0.414,0.0377
3789,2011-07-16,27.274,92.906,Arunachal Pradesh,0.88,0.0097,0.91,0.2079,0.0005
3806,2011-07-19,27.103,93.688,Arunachal Pradesh,0.94,1.5079,0.92,1.0283,0.0929
3881,2011-08-05,27.103,93.689,Arunachal Pradesh,0.91,0.859,0.92,0.8145,0.0528
3912,2011-08-12,27.44,92.283,Arunachal Pradesh,0.83,-0.1924,0.82,-0.3874,-0.0081
3925,2011-08-15,27.489,93.015,Arunachal Pradesh,0.92,0.5949,0.94,0.2799,0.0218
4313,2012-04-08,28.466,95.86,Arunachal Pradesh,0.68,-0.6033,0.65,-0.548,-0.0274
4378,2012-06-02,28.825,96.152,Arunachal Pradesh,0.68,-0.2686,0.64,-0.4653,-0.0209
4392,2012-06-06,29.241,95.976,Arunachal Pradesh,0.7,-0.05,0.67,-0.1447,-0.0038
4435,2012-06-25,27.174,95.801,Arunachal Pradesh,0.96,1.4065,0.9,1.0411,0.1326
4436,2012-06-25,26.999,95.499,Arunachal Pradesh,0.96,1.4065,0.9,1.0411,0.1326
4446,2012-07-05,28.999,94.889,Arunachal Pradesh,0.85,0.5101,0.84,0.5135,0.0345
4570,2012-09-19,27.846,95.225,Arunachal Pradesh,0.98,2.1627,1.0,1.5652,0.0752
4757,2013-02-18,28.119,95.165,Arunachal Pradesh,0.66,0.0827,0.62,-0.1956,0.0033
4798,2013-04-07,28.825,96.151,Arunachal Pradesh,0.72,0.8176,0.68,0.5792,0.048
4892,2013-06-01,27.878,94.25,Arunachal Pradesh,0.77,0.1194,0.73,-0.0543,0.011
5250,2013-08-01,27.884,93.052,Arunachal Pradesh,0.89,0.9219,0.92,1.0105,0.0356
5441,2013-09-02,28.611,94.983,Arunachal Pradesh,0.91,0.7202,0.93,0.6919,0.0294
5442,2013-09-02,27.161,93.753,Arunachal Pradesh,0.95,1.3938,0.98,1.3128,0.0656
6015,2014-05-08,27.903,96.174,Arunachal Pradesh,0.73,0.4611,0.62,-0.4537,0.0477
6105,2014-06-27,28.921,95.343,Arunachal Pradesh,0.75,-0.2855,0.7,-0.5637,-0.0233
6200,2014-08-17,27.087,93.609,Arunachal Pradesh,0.91,0.6013,0.93,0.6694,0.0363
6222,2014-10-01,27.125,93.771,Arunachal Pradesh,0.93,1.1009,0.96,1.0722,0.0546
6971,2015-06-09,27.099,93.816,Arunachal Pradesh,0.91,2.1061,0.88,2.3944,0.1884
7214,2015-07-15,27.36,93.039,Arunachal Pradesh,0.91,0.6601,0.93,0.5425,0.0319
7887,2015-08-16,27.884,96.926,Arunachal Pradesh,0.89,0.1077,0.91,0.0052,0.0058
7334,2015-08-18,28.174,94.76,Arunachal Pradesh,0.94,0.8534,0.97,0.7026,0.0326
7655,2016-04-22,27.58,91.857,Arunachal Pradesh,0.78,2.7959,0.74,2.9171,0.1097
9428,2016-04-23,27.552,91.752,Arunachal Pradesh,0.77,2.4813,0.73,2.5803,0.0982
