event_id,latitude,longitude,elevation,slope,aspect,curvature
585,27.1,93.629,405.82,5.4,275.31,-0.003886
870,27.4,92.35,2632.03,27.75,254.93,-0.002004
1084,27.7,92.8,2449.61,15.58,316.69,0.005925
1613,27.9,93.35,880.3,6.86,324.28,0.000483
1775,27.897,96.178,201.88,2.25,262.81,-8.7e-05
1930,28.43,95.878,521.73,12.9,215.56,-0.012348
2405,28.304,95.411,1838.67,42.16,110.41,-0.022087
2411,27.001,93.727,109.05,1.28,275.38,-0.000399
2539,28.309,95.415,1855.45,48.67,283.53,0.017074
2743,27.58,91.857,2770.8,20.34,290.99,-0.007307
3269,28.079,96.524,540.76,25.09,16.84,0.000669
3776,27.125,93.715,132.62,0.05,335.53,-0.000268
3789,27.274,92.906,631.99,19.7,10.68,0.003399
3806,27.103,93.688,150.77,3.37,208.94,0.000197
3881,27.103,93.689,149.55,3.02,126.32,-0.000848
3912,27.44,92.283,2627.1,11.97,216.12,-0.005517
3925,27.489,93.015,539.04,31.9,221.61,-2.4e-05
4313,28.466,95.86,1044.75,36.99,146.35,-0.005245
4378,28.825,96.152,3580.52,18.65,100.5,-0.000928
4392,29.241,95.976,4437.27,17.44,303.91,-0.011216
4435,27.174,95.801,294.59,0.76,25.93,-0.000146
4436,26.999,95.499,611.01,28.59,176.57,0.031089
4446,28.999,94.889,595.37,17.56,13.3,0.005696
4570,27.846,95.225,133.87,0.6,1.61,0.000668
4757,28.119,95.165,789.92,37.14,299.88,-0.010289
4798,28.825,96.151,3615.86,28.16,95.28,0.000874
4892,27.878,94.25,984.28,35.96,43.24,-0.001097
5250,27.884,93.052,1602.46,43.98,13.21,0.013711
5441,28.611,94.983,1681.38,32.11,198.01,-0.009668
5442,27.161,93.753,145.58,3.3,150.02,-0.001204
6015,27.903,96.174,196.5,3.87,201.79,0.003916
6105,28.921,95.343,4085.62,8.5,309.75,-0.015365
6200,27.087,93.609,315.83,3.23,285.01,0.00299
6222,27.125,93.771,149.04,27.46,162.65,0.009015
6971,27.099,93.816,211.55,16.91,124.87,0.007968
7214,27.36,93.039,417.16,3.95,255.24,-0.004881
7887,27.884,96.926,989.99,36.35,257.44,-0.011361
7334,28.174,94.76,568.93,24.65,72.89,-0.004536
7655,27.58,91.857,2770.8,20.34,290.99,-0.007307
9428,27.552,91.752,2404.82,33.21,106.56,0.002952
9404,28.082,96.532,601.36,18.57,314.49,-0.006154
9168,27.644,93.871,1708.81,37.85,241.99,-0.006909
