event_id,date_std,timestamp_utc,year,state,latitude,longitude,event_title,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,source_name,source_catalog,source_record_id,source_dataset,source_link,verification_basis,data_quality_flag,elevation,slope,aspect,curvature,landslide
APDA-NEG-00001,2003-10-28,2003-10-28 12:00:00,2003,Himachal Pradesh,30.3939,77.5958,Absence Control: Paonta Sahib Yamuna Basin,Paonta Sahib Yamuna Basin,Point verified absence,None,None,None,Low-slope plain / valley basin,0,0,Apda_Mitra_Spatial_Buffer_Sampling,Absence_Control,NEG-00001,Spatial_Absence_Control,https://apdamitra.in/data/absence,Buffered >= 0.1 deg from positive slides,VALID_NEGATIVE_ABSENCE,395,4.1,133.3,-0.0097,0
APDA-NEG-00002,2001-11-12,2001-11-12 12:00:00,2001,Himachal Pradesh,30.4212,77.5858,Absence Control: Paonta Sahib Yamuna Basin,Paonta Sahib Yamuna Basin,Point verified absence,None,None,None,Low-slope plain / valley basin,0,0,Apda_Mitra_Spatial_Buffer_Sampling,Absence_Control,NEG-00002,Spatial_Absence_Control,https://apdamitra.in/data/absence,Buffered >= 0.1 deg from positive slides,VALID_NEGATIVE_ABSENCE,418,6.5,100.1,-0.0025,0
APDA-NEG-00003,2008-12-24,2008-12-24 12:00:00,2008,Himachal Pradesh,30.4707,77.588,Absence Control: Paonta Sahib Yamuna Basin,Paonta Sahib Yamuna Basin,Point verified absence,None,None,None,Low-slope plain / valley basin,0,0,Apda_Mitra_Spatial_Buffer_Sampling,Absence_Control,NEG-00003,Spatial_Absence_Control,https://apdamitra.in/data/absence,Buffered >= 0.1 deg from positive slides,VALID_NEGATIVE_ABSENCE,411,5.5,237.2,0.0154,0
APDA-NEG-00004,2020-06-16,2020-06-16 12:00:00,2020,Himachal Pradesh,30.3978,77.6082,Absence Control: Paonta Sahib Yamuna Basin,Paonta Sahib Yamuna Basin,Point verified absence,None,None,None,Low-slope plain / valley basin,0,0,Apda_Mitra_Spatial_Buffer_Sampling,Absence_Control,NEG-00004,Spatial_Absence_Control,https://apdamitra.in/data/absence,Buffered >= 0.1 deg from positive slides,VALID_NEGATIVE_ABSENCE,415,5.0,67.5,-0.0006,0
APDA-NEG-00005,2007-04-03,2007-04-03 12:00:00,2007,Himachal Pradesh,30.3784,77.5924,Absence Control: Paonta Sahib Yamuna Basin,Paonta Sahib Yamuna Basin,Point verified absence,None,None,None,Low-slope plain / valley basin,0,0,Apda_Mitra_Spatial_Buffer_Sampling,Absence_Control,NEG-00005,Spatial_Absence_Control,https://apdamitra.in/data/absence,Buffered >= 0.1 deg from positive slides,VALID_NEGATIVE_ABSENCE,395,6.4,25.0,-0.0075,0
APDA-NEG-00006,2006-03-03,2006-03-03 12:00:00,2006,Himachal Pradesh,30.4191,77.5806,Absence Control: Paonta Sahib Yamuna Basin,Paonta Sahib Yamuna Basin,Point verified absence,None,None,None,Low-slope plain / valley basin,0,0,Apda_Mitra_Spatial_Buffer_Sampling,Absence_Control,NEG-00006,Spatial_Absence_Control,https://apdamitra.in/data/absence,Buffered >= 0.1 deg from positive slides,VALID_NEGATIVE_ABSENCE,380,6.5,152.2,-0.0007,0
APDA-NEG-00007,1999-01-27,1999-01-27 12:00:00,1999,Himachal Pradesh,30.3968,77.6292,Absence Control: Paonta Sahib Yamuna Basin,Paonta Sahib Yamuna Basin,Point verified absence,None,None,None,Low-slope plain / valley basin,0,0,Apda_Mitra_Spatial_Buffer_Sampling,Absence_Control,NEG-00007,Spatial_Absence_Control,https://apdamitra.in/data/absence,Buffered >= 0.1 deg from positive slides,VALID_NEGATIVE_ABSENCE,397,4.5,2.3,-0.0159,0
APDA-NEG-00008,2019-01-09,2019-01-09 12:00:00,2019,Himachal Pradesh,30.44,77.6682,Absence Control: Paonta Sahib Yamuna Basin,Paonta Sahib Yamuna Basin,Point verified absence,None,None,None,Low-slope plain / valley basin,0,0,Apda_Mitra_Spatial_Buffer_Sampling,Absence_Control,NEG-00008,Spatial_Absence_Control,https://apdamitra.in/data/absence,Buffered >= 0.1 deg from positive slides,VALID_NEGATIVE_ABSENCE,379,6.4,171.9,-0.0102,0
APDA-NEG-00009,2000-07-07,2000-07-07 12:00:00,2000,Himachal Pradesh,30.4141,77.6095,Absence Control: Paonta Sahib Yamuna Basin,Paonta Sahib Yamuna Basin,Point verified absence,None,None,None,Low-slope plain / valley basin,0,0,Apda_Mitra_Spatial_Buffer_Sampling,Absence_Control,NEG-00009,Spatial_Absence_Control,https://apdamitra.in/data/absence,Buffered >= 0.1 deg from positive slides,VALID_NEGATIVE_ABSENCE,424,4.3,35.2,0.012,0
APDA-NEG-00010,2009-11-04,2009-11-04 12:00:00,2009,Himachal Pradesh,30.435,77.6661,Absence Control: Paonta Sahib Yamuna Basin,Paonta Sahib Yamuna Basin,Point verified absence,None,None,None,Low-slope plain / valley basin,0,0,Apda_Mitra_Spatial_Buffer_Sampling,Absence_Control,NEG-00010,Spatial_Absence_Control,https://apdamitra.in/data/absence,Buffered >= 0.1 deg from positive slides,VALID_NEGATIVE_ABSENCE,405,5.3,230.8,0.0036,0
