event_id,event_date,latitude,longitude,state,source_catalog,source_dataset,sample_type,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,curvature,landslide
APDA-NEG-00001,2008-06-14,28.0,93.75,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,43.16,80.78,158.3,263.93,407.91,0.88,2.5333,576.05,30.81,45.85,0.021021,0
APDA-NEG-00002,2011-08-05,28.0,95.0,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,16.01,60.92,100.86,254.62,568.93,0.93,2.8667,784.15,2.6,262.83,-0.001803,0
APDA-NEG-00003,2008-10-29,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,0.52,44.52,55.23,58.33,122.0,0.82,2.1333,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00004,2012-06-25,28.0,95.0,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,50.18,129.02,190.51,335.98,517.83,0.94,2.9333,784.15,2.6,262.83,-0.001803,0
APDA-NEG-00005,2009-08-12,29.0,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,21.36,58.75,75.64,149.43,209.1,0.83,2.2,2967.53,32.82,99.99,-0.011499,0
APDA-NEG-00006,2012-09-19,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,44.4,75.07,156.28,255.8,496.22,0.96,3.0667,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00007,2010-04-03,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,18.09,48.25,80.29,129.05,149.72,0.79,1.9333,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00008,2017-05-24,29.0,96.25,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,16.53,20.14,41.21,52.75,165.51,0.84,2.2667,4424.4,28.85,66.8,0.001741,0
APDA-NEG-00009,2010-04-21,29.0,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,12.05,34.26,48.05,80.76,151.14,0.73,1.5333,2967.53,32.82,99.99,-0.011499,0
APDA-NEG-00010,2013-09-02,28.0,93.75,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,34.25,66.51,145.9,191.49,420.65,0.94,2.9333,576.05,30.81,45.85,0.021021,0
