event_id,event_date,latitude,longitude,state,source_catalog,source_dataset,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,curvature,landslide
585,2008-06-14,27.1,93.629,Arunachal Pradesh,GLC,NASA COOLR,42.4,85.43,148.59,261.42,427.26,0.85,1.2112,405.82,5.4,275.31,-0.003886,1
870,2008-10-29,27.4,92.35,Arunachal Pradesh,GLC,NASA COOLR,0.0,24.16,33.78,33.8,64.78,0.81,0.3488,2632.03,27.75,254.93,-0.002004,1
1084,2009-08-12,27.7,92.8,Arunachal Pradesh,GLC,NASA COOLR,17.32,32.27,50.39,109.21,228.18,0.79,-1.1384,2449.61,15.58,316.69,0.005925,1
1613,2010-04-03,27.9,93.35,Arunachal Pradesh,GLC,NASA COOLR,4.73,15.67,41.33,81.63,85.35,0.68,0.2815,880.3,6.86,324.28,0.000483,1
1775,2010-04-21,27.897,96.178,Arunachal Pradesh,GLC,NASA COOLR,46.75,98.64,118.19,208.44,415.19,0.91,2.4306,201.88,2.25,262.81,-8.7e-05,1
1930,2010-05-31,28.43,95.878,Arunachal Pradesh,GLC,NASA COOLR,10.46,13.68,31.61,98.82,341.89,0.88,1.4141,521.73,12.9,215.56,-0.012348,1
2405,2010-09-10,28.304,95.411,Arunachal Pradesh,GLC,NASA COOLR,47.91,135.67,230.46,316.54,569.0,0.97,2.0178,1838.67,42.16,110.41,-0.022087,1
2411,2010-09-10,27.001,93.727,Arunachal Pradesh,GLC,NASA COOLR,15.17,73.01,134.58,273.57,530.59,0.95,1.3497,109.05,1.28,275.38,-0.000399,1
2539,2010-10-03,28.309,95.415,Arunachal Pradesh,GLC,NASA COOLR,2.35,13.64,31.43,119.95,426.52,0.9,0.5765,1855.45,48.67,283.53,0.017074,1
2743,2010-11-22,27.58,91.857,Arunachal Pradesh,GLC,NASA COOLR,0.0,1.5,2.56,2.56,3.26,0.74,0.5155,2770.8,20.34,290.99,-0.007307,1
3269,2011-03-22,28.079,96.524,Arunachal Pradesh,GLC,NASA COOLR,7.48,55.41,102.32,122.78,130.32,0.79,2.1494,540.76,25.09,16.84,0.000669,1
3776,2011-07-15,27.125,93.715,Arunachal Pradesh,GLC,NASA COOLR,22.61,108.87,132.86,269.57,416.47,0.88,0.6027,132.62,0.05,335.53,-0.000268,1
3789,2011-07-16,27.274,92.906,Arunachal Pradesh,GLC,NASA COOLR,2.2,79.4,131.24,223.79,399.8,0.88,0.0097,631.99,19.7,10.68,0.003399,1
3806,2011-07-19,27.103,93.688,Arunachal Pradesh,GLC,NASA COOLR,58.61,136.8,253.15,298.1,532.64,0.94,1.5079,150.77,3.37,208.94,0.000197,1
3881,2011-08-05,27.103,93.689,Arunachal Pradesh,GLC,NASA COOLR,21.34,48.21,57.1,226.79,521.8,0.91,0.859,149.55,3.02,126.32,-0.000848,1
3912,2011-08-12,27.44,92.283,Arunachal Pradesh,GLC,NASA COOLR,6.41,9.64,28.55,86.72,289.16,0.83,-0.1924,2627.1,11.97,216.12,-0.005517,1
3925,2011-08-15,27.489,93.015,Arunachal Pradesh,GLC,NASA COOLR,42.1,67.64,79.22,144.74,465.07,0.92,0.5949,539.04,31.9,221.61,-2.4e-05,1
