event_id,event_date,latitude,longitude,state,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,curvature,landslide,sample_type
APDA-NEG-00094,2010-04-03,28.0,93.75,Arunachal Pradesh,8.44,23.51,52.38,111.57,117.58,0.72,1.4667,576.05,30.81,45.85,0.021021,0,negative
7910,2015-08-01,24.348,94.115,Manipur,3.7,100.7,118.29,220.65,329.07,0.87,1.5219,1024.64,21.97,187.19,-0.011288,1,positive
7371,2015-08-01,23.994,94.057,Manipur,5.31,82.66,101.37,202.03,310.51,0.86,1.9581,989.16,7.63,159.15,-0.012634,1,positive
APDA-NEG-00454,2013-08-16,32.5,76.875,Himachal Pradesh,23.4,86.42,114.26,238.45,341.46,0.95,3.0,5101.1,32.0,358.76,0.004829,0,negative
APDA-NEG-00976,2007-07-27,25.5,92.5,Meghalaya,20.88,86.34,134.91,245.77,368.93,0.94,2.9333,1063.07,25.33,13.62,-0.014165,0,negative
APDA-NEG-00898,2011-06-28,24.5,93.125,Manipur,13.69,72.4,117.07,181.68,298.53,0.87,2.4667,489.42,31.49,307.92,0.01086,0,negative
4924,2013-06-17,30.735,79.067,Uttarakhand,57.07,228.69,303.23,328.26,336.01,0.91,2.6617,3547.79,2.66,347.7,0.00333,1,positive
4928,2013-06-16,30.462,79.077,Uttarakhand,116.18,191.89,260.12,271.19,278.94,0.93,2.8143,1020.84,39.52,273.72,0.005827,1,positive
APDA-NEG-00102,2013-08-01,28.5,95.625,Arunachal Pradesh,0.46,23.83,37.95,216.83,350.8,0.9,2.6667,2215.04,37.28,283.93,-0.000253,0,negative
APDA-NEG-00230,2014-09-22,27.0,94.375,Assam,17.23,68.81,102.56,225.45,314.66,0.94,2.9333,86.0,0.0,0.0,0.0,0,negative
APDA-NEG-00857,2015-06-19,24.5,93.125,Manipur,5.92,12.23,54.18,194.24,342.73,0.82,2.1333,489.42,31.49,307.92,0.01086,0,negative
5215,2013-07-27,30.452,78.754,Uttarakhand,2.09,8.34,82.42,231.18,407.7,0.94,1.1568,2025.68,19.88,31.56,0.000584,1,positive
APDA-NEG-00786,2015-08-01,25.0,93.125,Manipur,13.93,93.0,107.23,259.26,462.73,0.95,3.0,275.9,30.23,93.66,-0.002097,0,negative
APDA-NEG-01299,2007-09-07,27.15,88.1,Sikkim,42.18,104.01,140.79,202.29,332.25,0.93,2.8667,2395.93,26.81,256.33,0.013169,0,negative
APDA-NEG-00834,2010-10-08,24.0,94.375,Manipur,65.32,120.02,126.11,144.81,212.21,0.88,2.5333,308.07,14.0,233.72,-0.007124,0,negative
APDA-NEG-01329,2010-07-21,27.15,88.1,Sikkim,17.74,87.19,185.76,322.88,555.74,0.94,2.9333,2395.93,26.81,256.33,0.013169,0,negative
APDA-NEG-01327,2010-06-01,27.15,88.1,Sikkim,2.67,17.32,37.48,121.37,185.33,0.59,0.6,2395.93,26.81,256.33,0.013169,0,negative
APDA-NEG-01573,2011-07-21,31.0,79.375,Uttarakhand,1.75,26.87,58.37,83.01,173.69,0.78,1.8667,5085.99,17.29,81.7,0.00088,0,negative
APDA-NEG-01774,2013-07-12,30.5,80.0,Uttarakhand,1.42,8.12,62.21,85.38,282.35,0.79,1.9333,5403.64,16.29,342.16,0.008133,0,negative
APDA-NEG-00670,2013-08-21,32.5,76.875,Himachal Pradesh,8.05,19.39,129.06,203.02,357.33,0.95,3.0,5101.1,32.0,358.76,0.004829,0,negative
APDA-NEG-01494,2015-03-31,30.5,77.5,Uttarakhand,0.0,13.81,13.83,13.93,96.52,0.51,0.0667,425.48,0.38,300.89,0.001817,0,negative
APDA-NEG-01146,2013-08-04,25.5,94.375,Nagaland,9.27,14.56,45.23,93.41,296.08,0.87,2.4667,1690.52,34.92,313.33,-0.003122,0,negative
APDA-NEG-00479,2011-07-15,31.5,78.75,Himachal Pradesh,22.18,31.73,46.59,84.58,176.21,0.8,2.0,4989.8,15.71,68.13,-0.003931,0,negative
APDA-NEG-01345,2011-07-20,27.15,88.7632,Sikkim,13.06,61.35,107.98,206.34,493.9,0.88,2.5333,2635.98,24.27,20.83,-0.003513,0,negative
7264,2015-07-22,25.454,93.983,Manipur,10.3,41.39,117.9,173.9,325.49,0.84,1.3821,1795.96,26.3,268.53,-0.006582,1,positive
APDA-NEG-00995,2015-08-18,26.0,91.25,Meghalaya,25.56,49.37,71.99,119.87,223.78,0.83,2.2,43.29,0.09,114.93,-0.000208,0,negative
APDA-NEG-01740,2013-07-25,30.5,80.0,Uttarakhand,6.72,15.73,63.56,108.41,198.9,0.83,2.2,5403.64,16.29,342.16,0.008133,0,negative
APDA-NEG-00242,2014-09-22,25.5,92.5,Assam,46.97,113.14,185.52,230.78,355.56,0.96,3.0667,1063.07,25.33,13.62,-0.014165,0,negative
APDA-NEG-00549,2013-07-07,32.5,76.875,Himachal Pradesh,14.68,35.18,39.78,67.56,230.0,0.78,1.8667,5101.1,32.0,358.76,0.004829,0,negative
3662,2011-06-28,25.036,94.014,Manipur,12.9,73.66,106.5,169.55,275.16,0.87,1.543,863.33,28.71,225.57,-0.001806,1,positive
APDA-NEG-00435,2010-09-19,32.5,76.875,Himachal Pradesh,13.67,17.45,26.88,102.2,203.32,0.89,2.6,5101.1,32.0,358.76,0.004829,0,negative
APDA-NEG-00458,2010-10-15,32.0,78.125,Himachal Pradesh,0.0,0.0,0.0,1.32,67.2,0.76,1.7333,5347.43,45.52,279.8,-0.005436,0,negative
APDA-NEG-00437,2010-09-19,31.5,78.75,Himachal Pradesh,35.37,69.66,97.85,170.04,325.29,0.92,2.8,4989.8,15.71,68.13,-0.003931,0,negative
APDA-NEG-00494,2015-08-12,32.0,78.125,Himachal Pradesh,3.89,17.15,62.66,122.59,208.3,0.85,2.3333,5347.43,45.52,279.8,-0.005436,0,negative
APDA-NEG-01736,2013-06-17,29.5,78.75,Uttarakhand,63.16,240.74,300.2,327.14,336.92,0.87,2.4667,285.78,7.49,11.54,0.004111,0,negative
APDA-NEG-01698,2015-07-24,29.0,79.375,Uttarakhand,8.12,15.32,21.19,195.91,534.27,0.76,1.7333,215.32,0.43,292.55,0.001399,0,negative
APDA-NEG-00873,2015-08-01,24.5,94.375,Manipur,3.7,100.7,118.29,220.65,329.07,0.87,2.4667,319.22,17.67,30.12,-0.00491,0,negative
APDA-NEG-00809,2010-10-08,24.5,94.375,Manipur,81.19,144.74,150.78,174.12,262.99,0.96,3.0667,319.22,17.67,30.12,-0.00491,0,negative
2135,2010-07-25,32.207,76.364,Himachal Pradesh,1.8,2.67,189.73,256.11,330.25,0.76,1.0141,1315.0,5.19,292.95,-0.005721,1,positive
APDA-NEG-01485,2010-08-26,29.0,79.375,Uttarakhand,14.43,43.53,163.48,248.18,543.93,0.9,2.6667,215.32,0.43,292.55,0.001399,0,negative
798,2008-09-19,31.587,78.315,Himachal Pradesh,19.21,28.32,30.56,49.6,91.86,0.76,0.5671,2795.18,32.44,255.51,0.003555,1,positive
7110,2015-04-30,30.557,79.554,Uttarakhand,1.82,2.92,4.62,9.36,44.09,0.59,1.2394,1882.73,18.59,157.44,0.000564,1,positive
